Paiwan,English
matu tinaleman ta mangu kata anema,There is like a mango or something
ana paqaljay ri a taqaljaqaljan lja saperaqu ini kaya Ripun,Ah Still respect us because Japan is not taught to look down
na maka ta tjeiyun sun a sema gakku,Do you go to school by MRT
nu tamalem mun tucu a vaqu,If you plant this millet
manu paika secalivatanga icua kinacuan naza dripung tiamadju a maqacuvucuvung,After the Japanese had taken those young people for a while
en en,marker of surprise
djaluljes amen a maciyul kilangda ta djawcikel a milimilimgan na lamaljeng macaqu amen qivu ta pinaywanan,We often listen to the elders telling stories together and we both can speak the Paiwan proficiently
na kiciul ti tjama pusaladj a qemalu,Your father was there to help carry the patient
kedrikedri,Tiny block
azua mamazangiljan tiamadju a mamaw,Because they are both leaders
maru na gacigaciu a tamagu aya,It is as big as a turkeys egg
uri zemeliulj aken tu drusa puluq a pakiyaw,I would like to deposit twenty dollars
nu mangtjez a pakana aya,I am sure I will buy him a meal when he comes
paljavak,codpiece
ui azua vucuyar nimadju wa,Yes this is its flower
su djinameq,Did you catch it
qaca,oldest
aicu aicu,This one here
nu mangetjez aza maraljak kaika vananga nu si gacalj ni kuljiljliljilji,Maybe the mother and child will come and maybe Gullel will get up
u pinaqenetj a ravac,I remember it very well
pudjavadjavai tua mareka salasaladj ti Uljelje saka qivu a mayatucu kiken a kemacu anga tua ku nemanga nutjaivililj saka pumaljimalji tua mareka salasaladj tua pinasedjaman tjaimadju a pasusangas anga a qadav,Uljelje apologized to the students and said that he would definitely bring his own things in the future and thanked the classmates for their willingness to lend him things before
kaw avan zua niamadju,So he is their brother
aljui pitju anga ku cavilj tucu,album I am seven years old
aicu uri pasemalav aken tua aicua cinalivatan tuaicua papasuicai tuaza tinagiljan,I would like to tell you about the beginning of the flooding in
aicu kamanu na merakacananaken numaya kuayain,I told him Okay While I am still healthy
vanu vaike aya na sepuvarun tji Kuljiljiljilji,After leaving Gulle was still thinking about him
gata neʼanga namaqar ca vasa,But it is gone The taro does not grow well
ta maljiya namedjama anga ti Uljelje i gakku saka pacikeli a kinisedjam a nemanga tua mareka salasaladj a penuljat,The next day at school Uljelje arrived at school early and returned everything he had borrowed from his classmates
uri vaik a kemavekav timadju,He is going swimming
qau a qasiv makudakuda atja iqasiven atja sipaveli neka,What is more how much wood is there to cut and sell
mazua,at that time
aladji gemagalj,Do not do it It is dangerous
tjagulj,Boulder
kilivuan aza u kina u inia kaui tu inia kaui ka palian anga men a puvaljau amen inianga pasakiukain,My mother in law would not agree and when she did not agree she would not let us go to church after we got married
tulu,teaching
ljaku namaya vangaljta rinbuui,But the fruits are exactly the same as Lotus Mist
qau sa maqati sun a mangatjez tucu a matjanuamen,Can you come to my house today
pay masi amen ta sipudrusa tuazua sa ne sabu tuazua valangis,We are going to pull the grass the second time and bury the new shoots in the dirt
tja paitjuʼudain a picil a vuljaljuq aya a iris aya a tjaljayan aya a pugu aya,We separate the taro children by taro size so there is baby taro top quality taro seed taro and mama taro
seman paqetelem tua nia tjumaq,They look down on our family
ta hana ljemenguaq ta,The whole garden inside and out
ti ljaikim u qaqivuqivuin ljakua inika paqenetje,I have been talking to Xu Yanhong but she does not remember
liyaw a zineliu nu i yumaq pai,Previously on the tribes payroll was more
maka,multiply
palisi,Ancestor Offering
dikilu sun a vaik a kicaciul tja nuaʼen maka u salasaladj aya za u ciuciu,You may join me and my companions my uncle said so
ui,be
maruvadiwsitaki,edible mushroom
a i aitu na kivadaq a nga ken ai vuculj a sangasangasan ai luljingas aya kamaya vanumamave aya ken azua ri,In Taitung when we were asked about the Paiwanese the first thing we said was the same We are Luo Lin Ansen
uri karim aen tjaysinsi a ma pankungse,I am going to the office to see the teacher
tezak tjezak temiditidiv,drip
liaw za dringay lja,We put a lot of traps
kati,respond in singing
aicu a senai a u i saceqalj izua patarevan a maperaperaw a malevaleva siniaya,The lyrics of the song are a simple phrase isaceqalj to rejoice to come to relaxation to seek happiness
pasainu,Where to go
semakuc,move
dungdung a vavelian ta nu umaq,Is the market close to your house
ini ljaqa aza ku kakanga na makaljevavaw lja,I cannot believe my brother can really climb
kiuy,really
ikatjen a malap ta ita na zuma a paqayaqayaw,We are not allowed to take in front of others
ulusai a izua,It is a pain in the ass
au pualjak anga tjai sacudjuy,And then the sandiest was born
navaik amen napacun ta nusauny ika men na matjumaq,We went to see Do not Go Home Today
taza a,Use that
mintjuljukminpudruk,jump
uimalicen,Yes Keep it down Keep your voice down
aza sitjaisangasangasan a cuacua cemepu saʼamaya,And the early ones were going for the stab
sikacekelj,cousins
vaikamen sakamaya cemikel tua niya qinaljan,We must go back to our tribe
ha ha ha,Ha ha ha ha
aljak nimadju ikatjen a semuqayaw,Her children we cannot take it
qaku kuljakuljai aravacqakitjen aru tjezua ayamen,How can it be so small Will we be able to live in it
saliyalim aken tu kiqepu ta marekatjakaka,I was busy with relatives
matu naqemudjalj anga tjevetjeveng a kadjalanan,It seems to have rained and the road is wet
puvaljaw kilimu a sema,He married young and went to Aipu
nu tja ayaing tu madrusa qadaw,If you leave it for two more days
mangtjez amen a mazeli,We work
ljakidjur,stinging nettle
meqaca,Growing up
mavengav a ku qulu,I feel dizzy
ui ayamanu,He said Yes And that is what happened
lkaki makuda tja kinaizuanantjala u su lilaku,Under what circumstances He said I would be sure to contact you
aicu a tjasi zunby ta djuadjuay,At this point we need to prepare the glutinous rice first
mamau anga tua i tjumaq,It is like being a family
ui cevungi anga a mumalj,Okay goodbye
maculja aken izua nanguaq a kanen,I am hungry Do you have anything to eat
kaw avan zua mapavalit a nia umaq ta tinutan,And that is when my house was replaced with a tin roof
qaljiv,roof
nu,If it is
aw e xx timen a angata ta sema zua,It is East Side Vocational Training We are the first class
aicu a senai a laisu tjalja ru sisenayan azua kai nua senai namayatucu,The song last is a typical love song with the following lyrics
mavilad izua taza na gakku,Running away from what used to be a school
pida cavilj kinetalj ta maljeveq,How often are they held
pakakivulivulj a pacucun a pasazaya,Look around and look up
nuaya aicu a uri sipusialangan si puqeluzan a kasiw avan uta,And then the same goes for the trunks that will be used to make the beams and columns
azua u ama azua u ina pai paledau a emasi tjai nuamen,My father and my mother where we were born
tja kasengesengav qadavanga tua tjaivililj aya mareka sinziya mapuljat,And all the believers say Let us just do it no matter what happens afterward
uri itjumaq aza mana makaya cemekecek tiyamadju,Only the leader of the family can set up a swing
aza mazua ti vuvu i qaubi,Because Grandma Aubi got married
tu timaima zua gata nu tja kinemenemen itjara nimadju i mareʼa matjaljalja nimadju azazua,I do not know who the elders are but I think they are uncles and parents
aya,indistinct
ka tu tazua,That was the wind
cemadja ni,It is too far back
ilja kalevau a i salange ljinuvaq anga a nia pasaliu,Please rejoice Peace has come
aicu a tja sinane sikasalialim aya namayatazua,Concerning this heirship we have established
tjemavat,denote the idea of relocating
ui angata maqati papetarivak ta kinacavacavan sarenguaq uta nu pabeqebeqen a tja kinacavacavan i taladj ta zaljum,Yes apart from being physically fit it feels good to soak your body in the water
na mazeli amen saka,We are physically and mentally exhausted
tita,onomatopoeia
kakedryan,child
kinaita,one day
kadjunangan,placement
sialap ta kadradri pakiyalalangi sa semelem,Take the rags to decorate for the burial
maciur amen katia kaka a kikiav,My brother and sister and I will catch frogs together
meliyav,variable
nima ca sapitj,Whose textbook is it
tjaukaljiya,early morning
tjainu a kinatjenglayan nimadju,Which season does he prefer
qemuyulj,bundling
djemavac timadju a sema biuing,He walks to the hospital
niima azua qudjidjilj a sunatjqadupu,Whose red book is it
namakesanga djuadjuay ri,Cooked Glutinous Rice
vaik,walk over
neka nia sicala abula neka nia sitauiyu,We do not have any oil for frying or soy sauce
inpic,pen
masuvaqu,Harvest Festival
izua su sinekeljangan i maza i taihuku,Do you know anyone in Taipei
nana tjemugut anga sun ta aya ri,So So you have grown
inianga makeljang a tja kinivaqu,It is impossible to calculate how much millet was harvested
ika,should not
kawdelji a vayiq sema ta aungduan,Let us go to the playground together
aku sipavai ta aya a saka na zung bi anga tjen a mapuljataya,Why do we have to give it to someone else when we are all ready for it They said
au nama,And then what
izua uli macay aya izua za ulimakuda tja aya,Someone might die someone might have an accident
tucu a adau aru kian tji gusiu tua cuiciu,Is music competing in croquet today
sanbasan ayatjen dalu,What do we call a midwife
madradrangel,compete in wrist to wrist combat
mavanaicua i tjailjaljagar,It is the name of this place in
qudjalj,rain
ui ui na vencik anga imaza itaihuku,Yes they both studied in Taipei
ini ka ti Ljaljuy timadju ti Muakay a ngadan,She is not Ljaljuy she is Muakay
vuvu,female elder
ama ayatjen ta sangsangsang,We call the first phase
tatakesian nua kakerian,National Elementary School
nu tja yavililj ta pinare vetjevetjekan tja neka nu alapen a kemasi tjumaq,They had to build their families from scratch and build their businesses with their hands and feet
masalu ta su tinavelakan,Thank you for your response
tapuluq saka unem,sixteen
kipapaulingavu nu malap nakuya mapasaqetju radjay aravac a kaukav,Be careful and do not get hurt The sickle is very sharp
izua nu sipaveliveli a saviki,Do you sell betel nut
uri cumuin aken ni kama a sema kiukay,Dad drove me with him
katiaw na vaik aken i qinaljan a paljilji ta ku vuvu uqaljay,Yesterday I went to visit my grandpa in the tribe
avan anga zua san kakaken anga paka tua kinisatjan a vaqu,Those are the diets that are used after the millet tax
na maitucu qalidilidi,Round like this
nekanga sezaman kikemuda,I do not know what happened to the heat
namaya men ta drail,We look like monkeys
caqev,lid
secevungan a kipakikim imaza i cencen a kadjalanan,I was halfway across the street when I met someone looking for me
zalangezangan,sweat
sau pasemaljav aya tja sikataqaljan I tjarivavav,We have been called by the tribesmen from above to report
ui ui,Mmm hmm
paruarut sun,You are right
semanaya,make
qetji ca caqi na vatu tja djuladjulatan,Look at all this dog poop we have been stepping on
nu mirualjak mana maqacuvung anga tu paqulid asu aljak,You can only become your real child if you go through the adoption ceremony
semungicu,skin
semuasaw,leaf stripping
aicu a kusikatjengelay tua milinilingan liyav aza kay inikanga tja siqaqivuqivu,Why I like myths is because there is a lot of language in them that is not being used
pinizuanan ta saljenguaq a pakeljang lja,Safety sign
seluc draqar,noose trap
zaljum,water
cavui,bind up
tu izua namaya tazua tja sika rekurekutj,Let us keep that vigilance
au ljiteku amen semamaza,And then we moved down here
alu kingking a djuadjuay,keg of glutinous rice
izuanan azua emadayanga tazua taza vilivililjan,There is another one What is it called The last step
qudjidjilj,red
pavain amen tua drusukpavain amen tazua qatia,Give us candles and give us salt
aza i qinaljan a uqaljaqaljay macaqu uta puraung tua sacemel macaqu tiamadju a puseluc kata puqacev,The men of the tribe also trap their prey making lasso traps and rock traps
ulja tja pinakirimu a pakicaquan a tja kakedriyan a maqacuvucuvung tua tja sicuacuayan a sipazaizaing,Nowadays you do not see people playing the leaves anymore especially nowadays with the influence of western music
nu tjaivililj alapi ta maka imaza i puljetjy a cemele,Next time I will take plants from the surrounding environment of the Jiaxing tribe
aw ka djemaljun amen i,When we arrived in Jeddah
qau kitjaula aza nia kama taza matazuanga men maulau angamen kapalisian anga men nia za saqetju amen palisi,My husband gave up Catholicism his life was lost he did not know where he was going my mother in law practiced witchcraft and we got sick
izua i tua puvuciyaciyaran a miperepereper,Flying around in the flowers
tjara izua na pasaliv a ukay,Maybe I am misrepresenting myself
caljeqilan,Exceptionally hard tough
azua kinava niamadju na masan vaquan,They are wearing all new clothes
sa izua men a na ipalingulj a qemuljiquljicamen tuazua,We are around Kenting
nuizua mazazangiljan matu izua tja,When the tribe has a leader it is very much like we have a
pangetjezan nase Vungalid a qalja,I am coming for you
nu qazemezemetj neka zua kelebav i kalevelevan tjevuta anga a vitjuqan,There were no clouds in the sky at night and the stars came out
si alap anga ta djiludjilung,He went to get the little urn
namaitucu a djuadjuay liaw a vinava,That is the kind of wine that makes a lot of wine
ru ka saqetju a qulu samutjaq ata tjiyalj,She has frequent headaches vomiting and stomach pains
vasa vuwaq puk,Taro Spiny yam Tree pea
mapeljuq,It is full
sanayan ta suapan azua qecengecengel aza i teku ui a niamadju,He used the black hairs underneath to make a broom
cemalis,scratch and itch
qadjaw kinamasang kakudan kiini ku ayawaw,I do not know if it is traditional but I think so
ramaljemaljeng,elder
malang,produce
tjelu a puluq saka ita,thirty one
setavat,Move
sipavai tua nimadju a cinawcau a kangbu,I will share it with the members of the leadership
kemljang,realize
djemumak,locate
vaikamen a cemikel a mata niya qinaljan,We are going back to our tribe
tjukudr,headband
naqemadris a caucau anga auta saʼamaya,Each one is fitted with a feather
kaljazalangezangan,summer
nu tjevavaw tua Kautii makudakuda a zikang sa djaljun i Tai Ciu,How long does it take to get to Taichung by THSR
nu na cemalivat anga a mayatucu mapu rusarusanga aya ramaljemaljeng,If there are more than two fingers like this that is what the old man calls two fingers
umaq,family property
tucu vaivaikanga ta sinzia vaikanga ta pipairangan,Nowadays they all have their own religions and ways of learning from the Han Chinese
sikalima,fifthly
saka nu qaqivu ta ngadan ui,We asked for names
akumaya palisi mun ta maljevaq,Why this five year festival
qemaljup tua vavui tua sizi tua takec tua kiqalju tua martimaljimalji azua alalapen nuazua taqaljaqaljan aya,Hunting mountain hogs goats or gathering honey whatever the clan takes
ki avan nanga cu a cinekecekan,I do not know if it is from the stabbing
kaqati tu neka kesa nu avan na zaljum,We must boil some hot water
ika na za sedjaljep,And it does not fit
ika macay aken ayaing na men,Told us he would not die
ma taihuk amen a aya,We went to Taipei because
tucu,Here
aue pacun aʼen tuazua qaliqali izua i tjaljutaljum,I have seen Dorian and the others
kimaya i vecekadan anga ta djaljang lja maitazua,I think we are halfway there
alamudis,mans name
uri kacuin aken ni kina a kipapucemel,Moms taking me to the doctor
paljitaljitain,one after another
pai alapan aken ta kawkav kata tjatjukun,Will you get my scythes and hoes please
aw inika nanguaq azua a sipuqeluz,Therefore it is not suitable for use as a beam
au aicu a namayatucu a inia sun a taza valjuluin nu makavaljulu izua qezetjan anga sun,So if you have not completed your adult training tie a white towel around your head after you have been whipped by a biting cat
anema nuayaitjen siniqiljivak itjen aravac nua Cemas,What is it God takes very good care of us
a i kadjunangan a lami a i patekuteku tua kasiw a qatjuvitjuvi,The grain of the earth and the worms under the trees
a ni Udung azua itung,Is that Udungs clothes
venalivali,typhoon
ljakua azua cavilj inika ku inaya,But I did not have that in that year
anemaya tjen tazua,What should we say
napevucelelj a kinaqadavan suqacau anga a temkel tua maculjuculju a zaljum,It is a bit cold so you need to drink more warm water
sau djiqesu tua zaljum,You go watering
tiyamadju a maraljak aya ka qinacuvun anga aya,After the mother and sons ceremony
ljingav,Sound
avan nazua na kidingding a nia kama,Only our father picked it up
pai sa kazepezep tiyamadju sa selaingnganga,So they discussed it together and agreed to come to a consensus
manu timun,So it is you guys
na matevelj sun kata su matjaljaljak,Do you live with your parents
akumaya ika sun na temevela aya za ti ama,My uncle asked me Why do not you answer
ui a sisan pazangal ta vavayan tucu pinadrinpa timadju ta vavayan tucu a ramaljeng sisan pazangal ta vavayan,That is why girls are valued as much as Rurouni and nowadays the elders also value women very much
ti Ljumeg a ku ngadan,My name is Ljumeg
amin,well
taza namitazua ni,About the haunting
takec,muntjacs reeves
ngadan,name
kaw pualjak anga men tucu a ti,So she gave birth to this child Xiaoling
manu pakeljin azua keljin aya pakeljen aza keljen,At that moment the robin made a tut tut tut sound
neka nu ika na en a kipukuwang,No I did not use a gun
pacunu,Please see
maljimalji aravac dri,Thank you
ta kapalisian,altar
nu marasudj anga zua kinaigiyan tu maqati tu pasainuan a aya mavacuk,Once there is no objection to the decision of the meeting we can know where to go for reclamation
manu pualjak matazua ika navinuciq,I did not have an operation
lja pakedavi a tji selep aken izuanga tapulu aku cavilj,My name is pakedavi a ti sleep and I am years old
qatjudray,earthworm
paljangpang,turtle
ui ljakua za aljake ni Muakay a se Tjarivavav,But the children of Mokaiyi the tribe above
ui maqacuvung papamaw qadaw,Yes after half a days immersion
masekeb,hot
tjemangadran na tjemaljiyahuan aya,Clothed in men cloth shoulders and she will straps
izua aya izua aya sisa,There is one that is dedicated to
pagung,work as a teamster
siav,soup
asav,leaf
a pakatua milingan taicua tjupalisiyan a kadjunangan,This is the story of the forbidden land
nu macai a namasan siasalialialim i tjumaq maitazua,When the head of the family passes away this ritual is performed
nu kemun paʼamazamaza a sinikun na sicuayan,When I used to wear a skirt I would pull my skirt up here
neka nu kuangpu matucu tua lima djavadjavay lja taqaljaqaljan,Without a loudspeaker that is how you call the tribesmen in manual
aza ripun,What about the Japanese
saka namayanan sakamay a sisangusangutj aya a sipilimalima aya,Well then there is no shortage of etiquette such as kissing and washing your hands
qau aicu a tjiyuma nuaya ayatua izua nua tjaljaljak angauta,There is a difference between the second and later generations of swings
nungida anga a ku sivalit tjanusun ta paisu,When do I have to pay you back
maru papeqalev tuazua qata aya itjen ui,I mean it is like we are feeding it with oil right
rakacu a pasamaza i tja nu a ken ku pusaladja sun a remakac,Pull the fish to my side and I will help you pull it up
liaw ca su talem yuni,You grow a lot of Nei
suntantalj,smoothly
inika napavala a semeljudj tua sipanadinadip tului anga ken nutjaivililj ui,I have never used a fishing rod before would you mind teaching me next time
kemavulj,ask
ini lja kitjala mamamamaw pay,No We should all eat the same amount Look at that
aicu a tjaizaya,It is up here
a mazazangiljan,Chieftain
sakazua tjaljaljaljaljak nu papungadan,Then it is time to pick a name from a civilian
avan anga siaya tjayamadju,I will give it to them
nu tjevavav tua tjaljasaljiukan a pasa Taiciu aki izua makudakuda a tukian ki djemaljun,How long does it take to get to Taichung by THSR
ucevucevungi anga uta sirutemulu,Goodbye teacher
qemudjalj anga ini aken a namasi kausua pasedjami a ken tua kusua ui,It is raining I do not have an umbrella can you lend me one
pazekadjan gemaljuanga ken,Sorry I am late
vaika en na,I will be right there
vai ka sema pukukan a djemekep ta kuka,She went to the chicken coop to catch chickens
neka ngeruq nimadju,He has no brothers or sisters
kemikinanan kemikinganan tu kanen niamadju lja,They are still looking for something to eat
anemaya,What do you mean
avanazua tja patjatjuʼudaʼudaʼin azazua nu penispisanga itjentja,We have to separate them according to this division
keman,eat
pana,Creek River
nia ayaing ta qaciljay,We use rocks
ina na kilangeda sun tjaya vuvu I Ljavuras,Mother has heard about your fathers grandfather Lavrans
qarangubaw qarangubaq,Male name
a qatiya aya azua a ljaki alju ljaki anema avan cu a si cavucavu kasicuayan,Once upon a time whether it was salt candy or anything else it could be wrapped in it
ini ini ini setjavut aza timadju,No no no no It is coming loose
aw a ku salasaladj sedjelj avan azua,My peers are all applying for General Administration
maitucu aza paveliveli ta kudamunu a tauki qaljemaqem aravac ca u pangudralj katua kutjis pay veliyu tu kedri,The owner of the nearby fruit stand said My pineapples and peaches are very sweet Buy some
amani a sicuaya nea nu semaljusaljur,I cannot imagine not being able to keep my feet straight
nia pavayan mun ta kadjunangan izua aya,The Japanese said they would give us land
vaiki tjen,walk
salunm saka sanguaq azua ika taladjan,The bottom of the pot is flavorful and delicious
katjaljuquluqulu tua quma aya,When we get to the triangle in the field
namaita zua ikatjen a masuqayaw,It is regulated
na vatu kinamaya pudrusadrusa aya lja,Just a couple of dogs for a group hunt
ika en lusenay,I rarely sing
sanguaq aravac,Very good
patavelak ta vusam,Thanksgiving
saka azua quvalj inurubaku saljinga ken,I am jealous of the oil in my hair
madjumak lja cuivan kiliaw,Tsui Fong has many memories
na kemasinu sun,Where are you from
ini qacengceng atja iraceven atja sipaveli,Not enough for us to gather our lives
ini talemu anan talemu ta sumumu aya,No no no no Let us grow red plums first
sa pay pecuungwananga zua,After the fire was started
saka selapay tiamen na malekaljak nua u kama,That is why it is so hard for us fathers daughters
sinualap azua na kasiw aw qeyuljen a benulabulay,The bark has to be peeled off and tied up neatly
ayatu pinenetj angata tiamadju tu papetjuruvu,Because Gods plan is to produce more people from them
nu pakasualapen cu a maka cemel avan nga zua ipuqen a kasiw,After the weeds are taken care of the trees will be cut down
sa kemudakuda mun a seman taliduan tua nu masuvaqu,How do you celebrate New Years Eve in your hometown
saigu sun a penanaq a qemaljup,Do you know how to hunt with a bow and arrow
tja pimazain aza aratj a aʼudraʼudralan,We will put the larger dried taro here
na vaik aken mzua tjai tja qali a kiciyul a temikung,I am going to work with him
idan a tjeza a paisu,Please return the rest
kasiw,trees
namaitucu a kinasudjuan na mamazangiljan,This is the marriage proposal of the ringleaders family
na maitucu a djuadjuay sanguwaq a venava,This kind of glutinous rice is the only way to make a good yamadori wine
situ,Student
a macidilj malekulekutj anan tjen ta gung,I am still afraid of cows when I am walking alone
puyiuma,puma one of the indigenous peoples of Taiwan
kangtang anga tucu,It is already very simple
nu maru izuanga za neʼa,If there is a problem
avan azua ʼaʼuda na nu caicu a cacavu,It is all a function of the footwear
pida avelian na itung,How much for the clothes
nu tazua sa pusau tiamadju ta pueceng,If you agree to become a relative at that moment
nasarenguaq anan sun,Are you all right
cuacuai izua pai umaljing azua kanpang,We were there for a while and the signs changed
sayguaken a zemuga,I can draw
na tiamen a qaqunuan a vaivaik kemin tu,It is our kids who are going to find it
kaizinu a kakesan kainu a qaqelengan kainu a papunemangan tazua e tazua cadju aya,Where to locate the kitchen where to locate the room and where to locate the bins used to hold the stuff
malipat izui tapaw tjai sikuaran,It is all burned to Xie Guanglans land
kisiaba,train station
gata aza masualap anga a tja kakudan kisaseljang a madraudrav a maulav a senay a ziyan,But with the disappearance of the head hunting custom it was gradually forgotten
inayanga na pudek,It is in the umbilicus
mavan a inu a su ljinay,Which umbrella is yours
tjuruvu itjen imaza,There are too many of us
avan nu zemzem saka neka nu qiljas madringay a namayatazua,Unless it is captured on a night when it is dark and there is no moon the
taitai kati kuniyang aicua ti kuniyang nuaya,Dai Dai and Gou Ni Yang What about the name Gou Ni Yang
sikesa nan vanu maculja mun ljakaka i djalan aya tji Muakay,Cook for them The brothers are afraid you will go hungry on the road
pay viljevilju a pasa maza i tjanuaken aza ciqav ku pusaladjay sun a veniljevilj,Pull the fish to my side and I will help you pull it up
cemavu,contract
idu pacunu ta sipaveliveli a itung katua tjalupung,Come and take a look We sell clothes and hats
nu djemameq aken nu vaik aken a semupuljuan,If I get a kill I will go to the funeral
masalu liyaw a qetim na aicu a kudamunu,Thank you This fruit is so juicy
a kasasavan masanliyaliyav a pacugan nia kakaqepuan nia kakivangavangan maqati auta drasiyan tua na nemanemanga,The patio has many functions it is our gathering place our playground and it can be used for anything
a itjanuamen izua i tala izua i pasalauz namaya tazua,In our own house there is a place in the living room and a place at the lower edge of the room
ini anan kalum,It is not red yet
tisun a semusu taicua aya ni ui,You are in charge
uza nu aya,Here take this
nia kakudan a tjemenunulja nia sipatatavelak a nia kakudan aya ku kininemeneman,Weaving is a part of our culture and I want to ensure its continuity
avan zua marekakakaka malje lima,They have five siblings
yatjen a vencaveca auta,And we did not lie
manu semukava en masulem azua,In the evening I took off my dress
tia en na ikawi a puvaljaw a ljacaza,I did not want to marry too far away
a i qinaljan a su aljak auta,Do your kids live in the tribe too
kamaljia magaku medjama sema gaku ti kapi aza kinisedjam ta salasaladj a nemanga pinacikel anga penuljat ta dukiusi,The next day at school Kapi arrived at school early and returned everything he had borrowed from his classmates
makaya uri pida a su kisedjamen,Yes How much do you need
a pasa vavua vaik a paljilji tiamadju tua niamadju a dringay vaik a kemuwang tua sacemel,To go to the mountains to inspect the traps they set or to go hunting
imaza i gadu ati demaljarap,In this mountain of Demarajobo
kama,dad
nekanuna madjuq izua penuljat azua tja lami,There is not a single omission in all the native crops
lemumpapalum,accelerate the ripening
uni,female name
kati Muakay a se Litjagulj vanangata sini veqac ui,And is Mokai the Stone Tribe the tribe of origin Yes it is
kikemuda sa milinga lja kina,Kids do not know it is a myth
ti kaka,brother
cekelj nua ku kaka,sister in law
ku drava cu ti sakenge a ngadan,This is my classmate name is Sakenge
san paisuin a tucu anga caucau a namayatazua,That is why families nowadays pay their taxes with money to replace millet
pacengceng,enough
ginalaljanga sun,You have been haunted
au izua na kicaciur ta nisun a kalakudain dri,Did anyone learn anything about your work from you
na kemesa anga itjen a pakaliav aya ti vuvu pai tja kanavanga sakamaya a masantalj,Grandma said that she has cooked so much so let us eat together
nu tjemumalj itjen,If we report the quantity
madjumakdjumaken,find
nu venusam tiamadju nu venusam tiamadju kemasi zaya paljelauz a myatucu a venuljuq tazua a vusam,When they plant seeds they plant them from the top to the bottom like this
ui a cacekauin,Yes secretary
maalim,oblivion
cemekalj,pry open
liyaw,More
sa pay imaya avan na nga zazua su siaya,That is exactly what you said
manu remevur itjen tjatja qinaljan,When we dismantle our tribe
sekapalak,To spoil to be spoiled
qadjaw ka avan cu siaya nu mapudru itjen,I think it is for when there is an abscess on your head
singlit aken ta itjumaq nu pazaing niamadju azua,I will miss home when they play that movie
aza su kama na macay tua sekakuda ni,After your father died in an accident
a qatjuvi tjamapacun nu qezemezemetj,Snakes are more likely to appear at night
izua na taqed i umaan ti madju,Yes she is sleeping in her room
izua za ku seljaseljang a ti Cumay ru alim a kemacu ta nemanga,I have a classmate named Cumay he often forgets to bring things
niya maraljak aya tji sakenikening aya,That is what the mother and the daughter ah ah ah ah ah ah ah ah ah ah
masu sintuludjan a sikay,We are not out of poverty yet
ljaqediqedi mazai tjaunipan tjaiqayaqayaw i sagaran,Next to the name of the place Kabanizaka opposite the Sakalan tribe
sa a ramaljemaljeng ui qemuculj saʼamaya qemuclj nuaya itjen ui,The elders will still stack the deck What do you mean by stacking the deck
pacunan itjen a anemaya tjennamayata aicu a,The crab will see what is the word we go to catch it
sa ulja mun a nasaigu a timun a mareʼaʼ ina anga,So you as mothers hopefully you will all learn
avan azua namasan kedri tja sincevungan ta matazua,It is not often that we get to see what we used to see
eena milava madrusa kiljenguaq kemasi qulu mantez i kula ayaanga,They are dressed from head to toe
ljakua kemeljang timadju,But he knows
patagilj,young and strong
i zua,there
nu pangpangen a inaizuanan nimadju a ljavalain ui,How do you beat the bushes
pai manasika aicu a sinika maqacuvung naicu a kiyuka,Thus the church was able to successfully complete the building of the church
mavanazua nu qaqecevan aya taqaljaqaljan,It is also a good match for you
aidriva ca sicuaya a siitunga na sicuayan aya itjen nu pacun itjen,We will say we miss the way our elders used to dress
ui,Yes Lung Kwai
tua cekelj ni Kuljiljiljilji,and Gourelles wife
sa na mimacayan i taladj azua saʼamaya,He is just pretending to be dead inside
matataq,rubbed
izua izua za djulis,Yes there is a kind of red quinol
aw anemanayatjen,How can I describe it
mainu anga ti Tjuku,Where did Tjuku go
gukusiw aya tjen,This is what the village office said
sa keman a mare ka ku aljak qaw qemaung nu ika tja pavayan lja,My kids cry because they want to eat too
maqati a sipuqeluz azua namaya tazua,It can be used as a beam
timanga za u saladj tia siceni,I am also accompanied by Xue Zhengyi
temepedj,hold down
aza ramaljemaljeng inia pusau ta qaqetitan kata mamazangiljan a mecevung,The elders will not let commoners and nobles fall in love
aravac,way
sema,late
maqatiaken,I can
makuda timadju,What happened to Vivi
matavakamen kacuaiyanga,We get used to it after a while
anemaya tjen tavaljavaljaw pay a pinaiwanan,How do you say it in Sansan Paiwan
vuvu a uqaljay,male elder
lakesan izua,Yes
a cinunan avan cu a qinaljan a tja vaivaikan a kilalain maletimalji,There is a difference between taking care of a village and a warrior
nu pucekelj itjen a ika tjara sikasaliyalim,Separate house system means that neither party to the marriage is the eldest heir
quljivaljivay azua vavawain na ramaljemaljeng azua,The yellow colored millet is used by the elderly to make wine
au avan tazua imaza anga men avan nusi imaza anga men a minseg,So we have been here ever since settling in the Lower Dorian tribe
kiqaca lavac a maljama,If there is a fire it is going to be huge
tiamen anga men a vaik,The second batch was us
suruc,spatula
ljakua azua nu temeking nu aya ti aken aljaqayaw tazua azua,However I was ranked at the top of the list for physical fitness at that time
ui numaya lapana ken tu ida cavuan nu djavililj veneli anga ken ta kinesa,Alright please give me one I will come back next time to buy rice
qalev,oil
ljakua macaqu ni atazuaing ni,But they are really good at it In this way
uri kemuda ken a kisurekutjan tjai vuvu,How do I apologize
sema aljak tja avudray,He later took Aphrodite as his adopted son
amin nanan za tja kuisan aya ta,Only doctors treat that
