Amis,English
tapuluq saka drusa anga cavilj nimadju.,He is 12 years old.
pida anga cavilj na su kama?,How old is your father?
lima puluq anga cavilj na ku kama.,My father is 50 years old.
mapida su siruvetjek?,How many brothers and sisters do you have?
"madrusa a ku kaka a tjavulung a uqaljay kata vavayan, madrusa ku kaka tjaljaljak a uqaljay kata vavayan.",I have two older siblings and two younger siblings.
izua su kaka a tjavulung a uqaljay?,Do you have a brother?
neka ku kaka a tjavulung a uqaljay.,I don’t have a brother.
mapida mun a taqumaqanan?,How many people are in your family?
ma sepatj amen a taqumaqanan.,There are four of us in our family.
inuan sun a temakesikesi?,Where did you study?
i valangaw aken a temakesikesi.,I studied in Taitung.
tima azua?,Who is he?
ti kama i sedjam timadju.,He is my uncle.
anema sengesengan ni kama i sedjam?,What does your uncle do for a living?
kisac a sengesengan nimadju.,He's a cop.
tima azua?,Who is that guy?
ku kaka a tjavulung a vavayan.,She's my sister.
izua sengesengan na su kaka a tjavulung a vavayan?,Does your sister have a job?
i biuing a sengesengan nimadju.,She works in a hospital.
mare vetjek azua madrusa?,Are they brothers and sisters?
"ini, mare qali tiamadju.","No, they are friends."
kacalisian sun?,Are you Aboriginal?
"ui, payuan aken a kacalisian.","Yes, I'm from the Paiwan tribe."
kacalisian a su cekelj?,Is your spouse Aboriginal?
"ui, sepiuma timadju.","Yes, she's from the Puyuma tribe."
qaca a su kama?,Is your father very tall?
ui qaqacan amen a taqumaqanan.,"Yes, we are all very tall."
temakesikesi anga su kaka a vavayan?,Does your sister go to school?
"ui, temakesikesi anga timadju.","Yes, she went to school."
saigu a su kaka a penaiwanan?,Do your siblings speak the language?
"ui, saigu a penaiwanan tiamadju.","Yes, they speak the ethnic language."
mapida su siruvetjek?,How many brothers and sisters do you have?
matjelu a ku siruvetjek.,I have three brothers and sisters.
na matevelj sun kata su matjaljaljak?,Do you live with your parents?
"ui, na matevelj aken kata ku matjaljaljak.","Yes, I live with my mom and dad."
na matevelj sun katia su vuvu?,Do you live with your grandparents?
"ini, inika amen a namatevelj.","No, I didn't live with them."
tima su kinateveljan?,Who do you live with?
"na matevelj aken kata ku matjaljaljak, izuanan a ku kaka a tjavulung a uqaljay.","I live with my father, mother and brother."
nakemasi nu sun?,Where are you from?
nakemasi valangaw aken.,I'm from Taitung.
inuan a nu umaq?,Where is your home?
i kuvaleng a nia umaq.,Our home is in Sinhua.
senema sun?,Where are you from?
sekacedas aken.,I'm from Taitung.
inuan a nu qinaljan?,Where is your tribe?
i kuvaleng a nia qinaljan.,Our tribe is in Taitung
nungida su sisaqinaljan?,When will you return to the tribe?
nu kaljazalangezangan a ku sisaqinaljanan.,I always go back to my tribe in the summer.
aljak aken nua paiwan.,I'm a child of the Paiwan tribe.
uri namakuda kinaqadavan nusauni?,How is the weather today?
qemadaw anga nazemulezul a kalevelevan.,"The sun is coming out, it's very hot."
naljemaljeqelan a i sasaw?,Is it going to be cold outside?
"ui naljemaljeqelan, kavau ta kedremedremel a kava.","It's cold, so wear warm clothes."
nasemezam a i sasaw?,Will it be hot outside?
"ini, venalivali anga.","No, it's windy."
uri namakuda a kinaqadavan nusauni?,How is the weather today?
ruarua a kinaqadavan kasauni.,The weather is just right
namakuda a kelevelevan nuqezemetj?,How is the weather tonight?
"neka nu qerepus i kalevelevan, tjevuta anga vitjuqan uta.","There were no clouds in the sky, and the stars came out."
namakuda a kalevelevan tucu?,How is the weather outside?
tjaukameljay minqut anga quljivangeraw.,The rain has just stopped and the rainbow is coming out.
namakuda a kalevelevan izua i tjanumun?,How is the weather there?
venalivali anga imaza i tjanuamen.,We're going to have a big storm here.
bulay a kinaqadavan izua?,How's the weather there?
"ui, bulay a kinaqadavan imaza.","Good, big sunrise here."
uri sema gakku anga ken.,I have to go to school.
"na ljemaljeqelan, paka liavu a kemava.","The weather is very cold, so wear more clothes."
uri sema sasaw anga ken.,I'm going out.
"paqenetju a masi ljinay, uri qemudjalj nusauni.","It's going to rain heavily, you have to remember to bring an umbrella."
uri qemudjalj?,Is it going to rain?
"na cemelalaq kasauni, uri qemudjalj anga.","It just thundered, it's going to rain."
naqemudjalj anga?,Is it raining?
"ui, na qemudjalj kasauni, ljakua na meljay anga.","It just rained, and now it's stopped."
qemudjalj anga?,Is it raining?
"tjevetjeveng a kadjalanan, matu na qemudjalj kasauni.",It seems to have rained and the road is wet.
na qemudjalj? aku tjevetjeveng a su kacavacavang?,Is it raining? Why are you all wet?
"ui paljeqaca a qudjalj i sasaw, ika aken a na masi ljinay.","It's raining outside, so I didn't bring an umbrella."
makuda sun?,What's wrong with you?
"namavali a aken, sika saqetjuqetju a ku qulu.","My head is blowing in the wind, so I have a headache now."
makuda sun?,Are you all right?
"malingac aken, qaca aravac a qadaw kasauni.","The sun is so big, it makes me dizzy."
namadraudrau aken a masi inpic.,I forgot to bring my pen.
ku pasedjamai sun.,I can lend you.
namadraudrau aken a masi qecap.,I forgot to bring my chopsticks.
"ari veli, inika ken a na masi qecap uta.","I don't have one either, let's go buy one."
kiciur sun a veneli ta inpic?,Let's go buy a pen.
"ui, uri veneli aken ta siquliqulip uta.","Well, I still have to buy erasers."
ari a veneli ta tja kenamain.,Let's go buy breakfast.
"ini, na kenama anga aken i tjumaq.","No, I've already eaten at home."
namadraudrau aken a semeljec ta ku tjinaljek.,I forgot to steam my lunchbox.
alapu seljecu a pakirimu!,Take it to the heat!
namadraudrau aken a masi tjinaljek.,I forgot to bring my lunchbox.
kani ta ku tjinaljek numaya.,Then let's eat my lunch box together!
anema uri su kencengeljen?,What are you having for lunch?
uri keman aken i gakku ta ku cengelj.,I want a nutritious school lunch.
anema uri su kencengeljen?,What are you having for lunch?
"na kemacu aken ta ku kanen, kaciuri a keman.","I've brought a lunchbox today, let's eat together at noon!"
ari a benuru?,"Let's go play basketball, shall we?"
ui ari!!,Okay! Let's go.
ari a benuru ta yakiw?,Shall we go play baseball?
"ini, liaw aravac a ku vaveciken.","No, I want to study."
alapan aken ta suapan.,Please help me with the broom.
"ui, aicu a suapan.","Okay, here's a broomstick for you."
alapan aken ta zuking.,Help me get the rag.
"paalapan tjai kuliw, semuasuap anan aken.","I'm still sweeping the floor, you ask kuliw to help you."
makasuap anga sun?,Are you done sweeping?
"ui, makasuap anga ken.",I swept it.
aku inika sun a semuap?,Why don't you clean up?
namakasuap anga aken.,I've finished cleaning up.
saw! djuasi azua namakungay a zaleman.,Go wipe the dirty floor.
"ui, malap aken tua zuking.","Okay, I'll go get the cloth."
saw djuasi a azua namaqungevuljan a qezung.,"The windows are full of dust, go wipe them."
"inika aken a makadjuas, kedri aravac aken.","Wait a minute, I'm still sweeping the floor."
uri kemuda sun nusauni?,What are you doing later?
uri kemin aken tjai sinsi.,I'm going to see my teacher.
uri sema tjumaq sun nusauni?,Do you want to go home later?
uri vaik amen a semenay kata ku qali.,I'm going to sing with my friends.
uri kemuda timadju nu qemacuvung ta vaveciken?,What does he do after he finishes his homework?
uri vaik a kemavekav timadju.,He's going swimming.
izua ti muakay i tjumaq?,Is muakay home?
idu saqumaqanu izua timadju i tjumaq.,"She’s at home, please come in."
izua ti ljeljeng i tjumaq?,Is ljeljeng at home?
neka! anema su sikikim tjaimadju?,"She’s not here, what can I do for you?"
tima sun?,Who is it?
"vuvu, ti tjuku aken, suqeljevi.","Grandpa, I’m Panay, please open the door."
tima sun?,Who is it?
"kuliw, ti pia aken, ari kivangavang.","kuliu, I’m piya, I’ve come to play with you."
sicuayan anga tja inucevungan.,Long time no see.
"ui! singlit anga tjen tjanusun, idu pangetjezu a kivala.","Yeah! I miss you so much. Come on, let’s chat!"
"qiladju, tekelu ta zaljum.",Please sit down and have some tea.
masalu.,Thank you.
tekelu ta utja.,Please have some tea.
semuqusaw angata a nu utja.,Your tea is delicious.
"idu! kanu ta veljevelj, a ku kinacu a kemsi qinaljan.",Let’s eat fruit!
sasanguaqan angata ca veljevelj nutjapacunan.,Yes! These fruits look great.
paka sanguaq sun?,How is the fruit?
"ui, sanguaq angata.","Yes, it’s really delicious."
"idu kani, namakakesa anga ti kina tua tja kaiven.","Mom has cooked dinner, come and eat!"
"ui, vaik aken a pilima.","Okay, I’ll go wash my hands."
"pai! suliavu a keman, inika tjen a qaliqali.","Try to eat and drink as much as possible, you’re not an outsider."
mavetu anga aken masalu.,"I ate a lot, I’m full."
"suliavu, maya masiaq.","Eat more, don’t be polite."
ui sanguaq a nu kinesa.,"Well, it’s delicious."
"uri vaik anga aken, mangetjez anga aken nu tjaivililj.","I’m leaving, I’ll see you next time."
"ui, kigalju anga i djalan.","Okay, goodbye."
"uri vaik anga aken a ma tjumaq, ljazuanga vengin.","It’s late, I’m going home."
kivalau anga nu tjaivililj.,Come again next time!
kigalju anga i djalan.,Walk slowly and carefully.
"ui, nu izua su tenget kivalau anga.","Okay, come to my house sometime."
"djavadjavai a mapuljat, nusauni uri vaik itjen a sema qinaljan a paljilji tjaivuvu i cudjuy.","Hello everyone, today I’m taking you to the tribe to interview the elders."
uri djemaljun anga itjen?,Are we almost there?
"ui, uri djemaljun anga.",Almost there.
"vuvu, paljiljiljilji amen tjanusun.","Grandpa, we’ve come to see you."
"ia! bulay angata, aku mun a macaqu a penaiwanan!",You guys speak Paiwanese! That’s great!
"djavadjavai a mapuljat, nusauni uri vaik itjen a sema puvaquan a masengeseng.","Hello everyone, today I will take you to work in the millet field."
"ui, sinsi","Yes, sir."
"idu, uri vaik anga itjen, kaciuciuri a mapuljat, paqenetju a nu turivecan.","Come and line up, remember to bring your tools."
"ui sinsi, na masi turivecan anga amen.","Yes, sir, we’ve got our tools."
djemaljun anga itjen?,Are we there yet?
ini anan ljacadja puvaquan.,"Not yet, it’s still far away."
saw! pazaljumi a puvaquan.,You go watering.
"ui, tiaken na pazaljum.","Okay, I’ll water it."
saw! alapu ta qapeqap.,You go get the bird catcher.
"ui, tiaken a venilad ta qayaqayam.","Okay, I’ll go and catch the birds."
"djavadjavay a mapuljat, uri vaik itjen a pacun ta qemuziquzip nusauni.","Hello everyone, we are going to the zoo today."
"cuay anga aken a kikaljavaljava, saka anema tja pakazuavan?",Awesome! How are we going to get there?
maka basu itjen.,Let’s take the bus.
"ljevavavu anan, veneli aken ta kipu.","Everyone line up, we are ready to buy tickets."
ui,Yes.
"tjaljiqaca aravac ca imaza, mareka qayaqayam a i maza, qatjuvi a izua. liaw anan a mare timaljimalji a qemuziquzip kigaljuvu a pacun.","There are birds in the front and snakes in the back.There are many different animals, take your time."
sinsi marekutj aken ta qatjuvi.,I’m afraid of snakes.
"pumayan, saw pacunu ta qayaqayam numaya.","It doesn’t matter, then you go and watch the birds."
kaqepui anga imaza nu pasuvililj ta cengelj a tjelu a milingan.,We’ll be back in an hour.
ui masalu sinsi.,"Yes, thank you."
anema nu pinacunan kasauni?,What did you see today?
liaw a nia pinacunan a maretimaljimalji a qatjuvi kata qayaqayam.,I saw a lot of snakes and a lot of birds.
"ari anga, uri vaik anga itjen.","Hurry up, we have to go."
"kaljavau aken, masetu anga ku kula.","Wait for me, my feet are tired."
kiciur sun a kemavekav?,Shall we go swimming together?
"ui, kiciur aken tjanumun.",Yes! Let’s go!
tjuruvu angata kemavekavekav imaza.,There are a lot of people swimming here.
"kaimazavi a kemavekav, ljataladj a aravac zaljum izua.","The water is deep there, so we just swim here."
anema su pinakazuanan a mamaza?,How did you get here?
anema su ljinevavavan?,What kind of car did you take?
na ljevavaw aken ta basu.,I came by bus.
uri kemuda sun a sema kuikay?,How do you go to church?
uri cumuin aken ni kama a sema kiukay.,Dad drove me with him.
djemavadjavac timadju a sema gakku?,How does he usually go to school?
"ini, maka ta tjiing timadju a sema gakku.",He took the subway to school.
kemuda a su vuvu a veneli ta ljaceng?,How does your grandmother go to the grocery store?
"ramaljeng anga ti vuvu, ljakua maqati anan a emutubay a veneli ta ljaceng.",She went to the grocery store on a motorcycle.
maka hikuki sun a sema drani?,How are you going to get to Orchid Island?
"ini, uri maka ta varukur aken a sema drani.",I want to take a boat to Lanyu.
"saka, uri kemuda timadju a sema drani?",How did he get to Orchid Island?
uri maka ta hikuki timadju uta.,He took a plane to Orchid Island.
anema ljinevavauvan nimadju a sema takaw?,What bus did he take to Kaohsiung?
"malingac a ljevavaw ta basu timadju, qaw! na maka ta kauty timadju a sema takaw.",He took the THSR to Kaohsiung.
na maka ta kisia timadju a sema valangaw?,Did he take a train to Taitung?
ui na maka kisiya timadju a sema valangaw.,"Yes, he took a train to Taitung."
na maka kisia timadju a sema valangaw?,Did he take a train to Taitung?
"ini, na maka ta hikuki timadju a sema valangaw.","No, he took a plane to Taitung."
inu a tjalja demutan ta siljevavavan ta basu?,Is there a bus stop near here?
"sevecu a pasa sangas, mapacun a siljevavavan ta basu.","If you go straight ahead, you will see the bus stop."
izua ljaljevavavan ta tjiin imaza?,Where is the nearest MRT station?
"neka nu tjiin imaza, amin a haia a su ljevavavan.","There is no MRT station here, you can only take a taxi."
"nu maka ta basu, pida milingan a tja sidjaljun i gakku?",How long does it take to get to the school by bus?
"tapuluq saka lima a bung, djemaljun itjen.",15 minutes to school.
"uri pida milingan, nu ljevavaw itjen ta kauti a kemasi takaw a tjalju taiciw?",How long does it take to get to Taichung by THSR?
ita a milingan a tja sidjaljun.,I will come to Taichung in an hour.
cuay nu emungeting itjen a sema udray?,Is it a long drive to Ulai?
kimaya ita a milingan.,It takes about an hour.
uri maka ta tiin sun a ma tjanuamen?,How long did it take you to come to my house by subway?
"izua ku kudain, ika aken a maqati a sema tjanumun nusauni.",It takes 20 minutes.
saigu sun a zemingdingsia?,Do you know how to ride a bicycle?
"ui, saigu aken a zimdingsia.",I can ride a bicycle.
izua su utubay?,Do you have a motorcycle?
"ui, izua ku utubai a ita.",I have a motorcycle.
izua su utubay?,Do you have a motorcycle?
neka ku utubay.,I don't have a motorcycle.
"djavadjavay vuvu, ti kadruy aken, tuki maqati aken a kivadaq itjanusun?",Can I interview you?
"ljakua, ika makudakuda a ku kineljang.","Don’t, I don’t know much about it."
izua su tenget nu pasuvililj ta cengelj?,"Are you free this afternoon? I’d like to visit you, is that okay?"
ui i tjumaq aken.,"Okay, I’ll wait for you at home."
nasakivadaq aken tjanusun a pakatua milimilingan nua paiwan. tuki izua su tenget nu kadjaman?,Are you free tomorrow? I’d like to ask you about the legendary story of the Paiwan people.
neka aken i tjumaq yu. uri vaik amen a kivaqu nutiaw.,"I’m going to the mountains tomorrow, so I won’t be home."
naselangeda aken tu liaw a su kineljakeljang a pakatua kakudanan nua paiwan. tuki maqati aken a kivadaq tjanusun?,"I heard that you know a lot about the traditional customs of the Paiwan people, so I would like to ask you something."
"ui, ljakua pangetjezu anga nu sikatjelu a kadjamadjaman.","I don’t know much about it, but I will try to answer as best I can."
tuki maqati aken a semasing tjanusun a seman iga?,Can I record the video? It will be easier to record in the future.
"ui, maqati inikamakuda.","Okay, no problem."
"vuvu, pida anga su cavilj tucu?",How old are you?
siva a puluq saka alu anga ku cavilj.,I’m 98 years old.
"vuvu, aku tarivak anan a su kinacavacavan, ika makeljang a su cavilj.",You’re so young.
"ini lja! ramaleng anga ken, neka anga ku djuludjuluin.","No, I’m not! I’m old."
na kemasinu sun vuvu?,Where are you from?
kemasi kuvaleng aken.,I’m from Gu Fa Leng.
paiwan a su cekelj uta?,Is your wife also a Paiwan?
"ini, sepiuma timadju.","No, she’s a Puyuma."
izua anan a su kinacaqu a zuma a kai?,What languages do you speak?
"ui, macaqu aken ta na Amis kata na sepiuma",I speak Aramaic and Puyuma.
"vuvu, naqemaljup sun kasicuayan?","It’s a pleasure to interview you today, can you talk about the taboo of hunting?"
"ui, ru qaljup aken kasicuayan, qenetji liaw anga ku qinaljup a sacemel.",Yes. I used to go hunting in the mountains when I was young.
"masalu aravac tua su tjaucikel kasauni, liaw anga ku sinivecik.","Thank you, what you taught me today was really great."
"aicu a ku sinitjaucikel kasauni, ku linangedan a kemasi ta ramaljemaljeng a tja kakudan kasicuayan.","All that I say is true, the sayings of my ancestors."
"vuvu aianga su luljayan, tjaljumaza a ku sikivadaq tjanusun.",That’s all for today’s interview. Thank you very much for sharing with us.
"inikamakuda, ljakua namaqusaw sun?","You’re welcome, let’s talk again."
"ini, uri vaik anga aken, maqati aken a lemangeda ta su tjaucikel a milimilingan nu tjaivililj?",I’m going to leave now and look forward to hearing more stories next time.
"ui! pangetjezu anga nu tjaivililj, kigalju anga i djalan.",Okay! Please take care.
anema su velin? tjuku.,"Hello, what do you want to buy?"
uri veneli aken ta kupu.,I want to buy a cup.
izua anan a su velin?,"Hello, what are you looking for?"
veneli anan aken ta tjalupung.,I want to buy a hat.
paveliveli mun ta kupu?,"I want to buy a cup, do you sell them?"
izua pida su velin?,"Yes, how many do you want to buy?"
paveliveli mun ta saviki?,Do you sell betel nut?
"neka, tima uri mapu.","No, we don’t sell betel nut."
veneli aken ta djuadjuay a paday.,I want to buy rice.
pida su velin?,How many packs do you want to buy?
pavai aken tu tjelu ta djuadjuay a paday.,Give me three packs.
vuvu na saveneli aken ta cinapa a vurasi.,I want to buy sweet potatoes.
"gemalju anga sun, neka anga vurasi.",All the sweet potatoes are sold out.
uri veneli aken tu drusa ta abudra.,I want to buy two bottles of oil.
ita anga.,We only have one bottle left.
velian aken ta qecilu.,Go buy me eggs.
makudakuda su velin a qecilu?,How many pounds do you want to buy?
velian aken ta qecilu tu drusa iday.,I want to buy two catties.
veneli aken tu drusa ta talekelekan a ada.,I want to buy two green onions.
veliu ca tjelu a talekelekan a ada lja!,"There are three left, all for you!"
pida cu a paday?,How much is this bag of rice?
tjelu a iday nu talubukan.,$200 for a pack.
"tjelu a iday tu drusa puluq saka ita a penuljat, kana su pavain aken tu tjelu a iday tu drusa a puluq.","The total is $21, just count $20."
ui masalu.,Thank you.
siva a puluq saka lima a valjitjuq imaza.,Here’s $95.
"veneli anan aken, ku pazuljuan tu masan taiday.","I’ll buy some more, and make up 100 yuan."
lima a iday saka tapuluq a su vinelian a penuljat.,All $510.
maqati a su kisangen a pacengeceng tu masan lima a iday?,"Count me in for $500, okay?"
inika maqati.,No way!
"manu pazangal lja nu paveli sun ta nemanga, maqati a su papedjuluin?","It’s too expensive, can you make it cheaper?"
"inika maqati, madjulu anga.","No, this is already very cheap."
"saka numatazua, veneli aken tu kedri ta alju.",I want this packet of cookies.
amin cu a su velin?,anything else you need?
maqati a ku kisedjaman sun ta paisu?,Can I borrow money from you?
"na madraudrau aken a masi paisu ka kadjaman, maqati sun a pasedjam tjanuaken?","I forgot to bring money, can I borrow money from you?"
neka nu naseliaw a ku sipasedjam tjanusun.,I don't have any money either!
"mayanga, inika su pinacikel a su kinisedjam ka tjaisangas.","No, you haven't paid me back the money you borrowed last time."
maqati aken a kisedjam ta su kava?,Can I borrow your clothes?
"maqati, saw alapu ta su sikava.","Well, you take it yourself."
maqati a su pasedjaman aken ta su sunatj?,Can I borrow your book?
ku sinipasedjam anga tjai kapi.,I lent it to piya.
"nasakisedjam aken ta su zidingsia, maqati?","Can I borrow your bicycle, please?"
"maqati, ljakua pacikelu anga nutiaw.","Okay, but you have to give it back to me tomorrow."
"qemudjalj anga, namasi ljinay sun?","It's raining, I don't have an umbrella, can you lend me one?"
"izua ku ljinay, kaciuri a ljeminay numaya!","I only have an umbrella, let's stick together!"
pacikel aken tjanusun ta ku kinisedjam ka tjaisangas a sunatj.,"This is the book you borrowed from me last time, I give it back to you."
nasapacun anan sun ta zuma a sunatj?,You can tell me what else you want to read.
nungida anga a ku sivalit tjanusun ta paisu?,When do I have to pay you back?
"pumayan, pacikelu anga nu izua su paisu.","It doesn't matter, you can talk about it when you have money."
nungida su valitan aken ta su kinisedjam a paisu?,When are you going to pay me back?
ku valitan sun nutiaw.,I will return it to you tomorrow.
nungida su pacikelen a ku sunatj.,When are you going to return my book?
aku ku pinacikel anga katiaw?,Didn't I return it to you yesterday?
ti pia napasedjam tjanusun ta inpic?,Did Pia lend you this pen?
"ui, pinasedjaman aken ta inpic nimadju.","Yes, I borrowed it from him today."
aicu a inpic su kinisedjam tjai piya?,Did you borrow this pen from piya?
"ini, vinelian na ku kina tjanuaken.","No, this is what mom bought."
"neka anga qatia, kisedjamu ta nia tjuku.","We are out of salt, so let's borrow some from tjuku."
"ui, ku kisedjamay.","Okay, I'll borrow it."
pacikelu ayavu ti muni ta kinisedjam tjanuaken a paisu.,Go tell mumi to return my money.
pida kinisedjam a paisu tjanusun?,How much does she owe you?
uri sema inu sun?,Where are you going?
uri vaik aken a temalem ta ljaceng a sema ta ku puljacengan.,I’m going to plant vegetables in the garden.
anema su kudakudain?,What are you doing?
uri ku ljivaseng ca namasan cemecemel anga a kadjunangan.,"There’s too much grass, I’m cutting it, I’ll have to water it later."
alapan aken ta dramia kata pitaw.,"Will you get my scythes and hoes, please?"
ku pinizua i ljaving ta kakara.,Put it next to the plow rake.
na kemangekang anga sun?,Did you turn over the soil?
"na kemakang anga ken, uri ku vusaman nusauni.","I just turned over the soil, and so on to sow seeds."
maqati anga tjen a kiljaceng?,Are your vegetables ready to be harvested?
amin a qaudriudri a maqati a nu kiljacengen.,"The cabbage here is ready to be harvested, but the Showa grass there is not yet ready to be harvested."
liaw angata a su kinivurasi,Wow! You dug up so many gourds.
seqetju a pasa kuvkuv aicu a ku kinivurasi.,Will you help me with the barn?
anema nu kudakudain?,What are you doing?
"qemayuqayu amen i veljeluan, uri kiciqaw amen.",I’m pounding the vines for fish.
liaw a ciqaw imaza?,Are there many fish here?
namapeljuq anga dradrakuyan ta nia kiniciqaw.,The fish basket has been full of fish.
seman dringay aken ta ku siqaljup,"I usually catch my prey with a trap, but occasionally I hunt with a gun and a dog."
aicu nua vavuy a djekap.,"These are the footprints of the boar, so this is the path the boar took."
aku su sikeljang?,How do you know?
makeljang tu djinavacan nua vavuy a qelju.,I can see the traces of the boar.
ari tjapacunay a tjadringay.,"Go and see our trap, for it seems that we have caught our prey."
nasemequ anga vatu.,The dog seems to have smelled it. Let’s follow them.
anema su alalangen?,What are you working on?
aicu a rusung sipudringay ta kulavaw.,"This is a cage trap, used to catch rats."
anema nemanga a su pinizua,What is that thing you put there?
aicu sidringadringay ta takec ni kama.,"It was a leg-rigged rope trap, and we used it to catch Shankiang."
"masalu angata ta naqemati, liaw a tja qinaljupan kasauni.","Thanks to the blessing of our ancestors, we had a great harvest today."
ui angatalja! masalu aravac tua sinipagaugaw tjanuitjen nua naqemati.,Yeah! Let’s take it back to the tribe and share it!
nusauny uli temulu aken tjanumun aza dubuc kemuda lukai ta pinaiwanan.,I will teach everyone all kinds of animals in Paiwan language today.
nusauny uli temulu aken tjanumun aza kudamunu kemuda lukai ta pinaiwanan.,I will teach everyone all kinds of fruits in Paiwan language today.
maya taqed.,Don’t sleep.
maya kiljavaran.,Don’t talk.
maya keman ta nemanga.,Don’t eat.
patjevutaw su sapitj.,Take out your textbook.
patjevutaw su inpic..,Take out your pen.
patjevutaw su vavecikan..,Take out your homework.
sananguaqu a sapitj.,Put your textbook away.
sananguaqu a inpic.,Put your pen away.
sananguaqu a kakanen.,Put your food away.
sananguaqu a vangavanga.,Put your toy away.
nia ken.,It’s mine.
nima ca sapitj.,Whose textbook is it?
ni giyu.,It’s giyu’s.
nima ca siquliqulip?,Whose eraser is it?
ika en kemeljan.,I don’t know.
azua ni camak a hansudi?,Is that camak’s shirt?
ini! ni akay a tjiaku.,"No, this is akay’s coat."
"sinsi, ika na masi sapitj aken.","Teacher, I didn’t bring my textbook."
kiciul kata ljaqediqedi maciul a pacun.,Share the book with your classmate next to you.
mapengedruq a ku inpic.,My pencil is broken.
ayau ta yincepi a venecik..,Write with a ball pen.
maulaw a u siquliqulip.,My eraser is missing.
u sipasedjam a siquliqulip tjanusun.,I will lend you my eraser.
"uli tjaljumaza tja kitulu, nu sema tjumaq kigalju anga i djalan.","It is the end of the class, be careful on your way home."
ui. masalu sinsi.,"Got it, thank you teacher."
"uli tjaljumaza tja kitulu, mecevungi anga mapuljat.","The class is over, goodbye everyone."
vaikanga sinsi.,Goodbye teacher.
"djavadjavay, a mapuljat. a ku ngadan ti buya.","Hello everyone, my name is buya."
"djavadjavay a mapuljat, a ku ngadan ti kuliw.","Hello everyone, my name is kuliw."
kuliw djavadjavay.,"Hello,kuliw."
"djavadjavay, ti buya ken.","Hello, I am buya."
"buya djavadjavay, tiaken ti sakinu.","Hello buya, I am sakinu."
"djavadjavay, tiaken ti kuliw.","Hello, I am kuliw."
"kuliw djavadjavay, tiaken ti sakinu.","Hello kuliw, I am sakinu."
tima sun?,Who are you?
"tiaken ni kiusi a kina, ti tjuku a ken.","I am kiusi’s mom, tjuku."
tima sun?,Who are you?
"ni kiusi a tjakeri a kaka vavayan, a ku ngadan ti kenge.",I am kiusi’s sister. My name is kenge.
tima zua?,Who is he?
"timadju niaken a sinsi, ti sedjam a ngadan.","He is my teacher, sedjam."
tima a caucau?,Who is that person?
"timadju ku kaka tjavulung uqaljay, ti utjung a ngadan.","He is my brother, utjung."
timadju ti buya?,Is he buya?
"ui, timadju ti buya.","Yes, he is buya."
ti buya sun?,Are you buya?
"ini, ti sakinu a ken.","No, I am sakinu."
tima ti buya?,Who is buya?
avan ti buya ken.,I am buya.
tima ti sakinu?,Who is sakinu?
ti sakinu niaken a qali.,sakinu is my friend.
tima ngadan na su kaka tjavulung a vavayan?,What is your elder sister’s name?
a ngadan na ku kaka tjavulung a vavayan ti ljeljeng.,My elder sister’s name is ljeljeng.
tima ngadan na su kaka tjakeri a vavayan?,What is your younger sister’s name?
a ngadan na ku kaka tjakeri a vavayan ti gesi.,My younger sister’s name is gesi.
kemeljan sun ta ngadan nimadju?,Do you know his name?
a ngadan nimadju ti buya.,He is called buya.
pidanga cavilj na su kaka tjavulung a uqaljay?,How old is your elder brother?
tucu puluq sa lima anga cavilj nimadju.,He is fifteen years old.
pida anga cavilj na su kaka tjakeri a uqaljay?,How old is your younger brother?
tucu lima anga cavilj nimadju.,He is five years old.
a nu qinaljan izua gaku?,Do you have schools in your community?
izua.,Yes.
kitulutulu sun itua qinaljan a gaku?,Do you study in your tribe’s school?
"ui, nu kitulu amen i gaku matu taqumaqanan.","Yes, we are like family while we are studying at school."
tima zua uqaljay?,Who is that man?
tima zua vavayan.,Who is that woman?
u kaka tjavulung a vavayan.,She is my sister.
tima zua qaqunuan?,Who is that kid?
u kaka tjakeri a uqaljay.,He is my younger brother.
anema sengsengan na su kina?,What does your mother do?
sividay timadju.,She is a soldier.
anema sengsengan na su kama?,What does your father do?
sinsi timadju.,He is a teacher.
timadju su kaka tjakeri a uqaljay?,Is he your younger brother?
"ini, timadju na ku kaka tjakeri uqaljay a qali.","No, he is my younger brother’s friend."
timadju su kaka tjavulung a vavayan?,Is she your elder sister?
"ini, u kaka tjakeri a vavayan timadju.","No, she is my younger sister."
mapida mun a taqumaqanan?,How many people in their family?
izua lima taqumaqanan niamadju.,There are five people in their family.
mapida nu taqumaqanan a kakerian?,How many children in your family?
ma sepatj a nia aljak.,There are four children in our family.
mapida su kaka tjakeri uqaljay kata vavayan?,How many younger siblings do you have?
"neka ku kaka tjakeri a uqaljay, izua tjelu tjakeri a kaka vavayan.","I don’t have any younger brothers, but I have three younger sisters."
mapida su kaka tjavulung a uqaljay kata vavayan.,How many older siblings do you have?
neka ku kaka tjavulung a uqaljay kata vavayan.,I don’t have any older siblings.
mapida su siruvetjek?,How many siblings do you have?
neka ku siruvetjek.,I don’t have any siblings.
marekaka mun a uqaljay?,Are you brothers?
"ui, timadju ku kaka tjavulung a uqaljay.","Yes, he is my brother."
kacalisian mun?,Are you aboriginals?
"ui, kacalisian na men.","Yes, we are aboriginals."
paiwazuku timadju tauta?,Is she Paiwan too?
"ui, timadju paiwanzuku uta.","Yes, she is Paiwan too."
kasauny makuda kalevelevan?,How’s the weather today?
